smile,canonical_ikey,name,source,source_id,status,reframedb_url
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,DKNUPRMJNUQNHR,CEP-32496; agerafenib hydrochloride,Selleck Chemicals,S8015,plated and available for follow-up,https://reframedb.org//compound_data/DKNUPRMJNUQNHR;qid=Q27075853
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF,linezolid; Zyvox,Sigma-Aldrich,NA,plated and available for follow-up,https://reframedb.org//compound_data/TYZROVQLWOKYKF;qid=Q82590933
C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,VPVOXUSPXFPWBN,sepiapterin; sepiapterine,Sigma-Aldrich,S154,plated and available for follow-up,https://reframedb.org//compound_data/VPVOXUSPXFPWBN;qid=Q2271580
O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,SWUARLUWKZWEBQ,Caffeic acid phenethyl ester; CAPE,Sigma-Aldrich,C8221,plated and available for follow-up,https://reframedb.org//compound_data/SWUARLUWKZWEBQ;qid=Q72515103
CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,QFCXANHHBCGMAS,telatinib; BAY-57-9352,A2Z Chemical,AZM14898,plated and available for follow-up,https://reframedb.org//compound_data/QFCXANHHBCGMAS;qid=Q27252023
O=C(O)c1ccccc1OP(=O)(O)O,FFKUDWZICMJVPA,fosfosal; Aydolid,Life Chemicals,F9995-1274,plated and available for follow-up,https://reframedb.org//compound_data/FFKUDWZICMJVPA;qid=Q27166397
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX,ritonavir; Norvir,Pharmaron,155213-67-5,plated and available for follow-up,https://reframedb.org//compound_data/NCDNCNXCDXHOMX;qid=Q422618
O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,NAXSRXHZFIBFMI,GW 3965,Selleck Chemicals,S2630,plated and available for follow-up,https://reframedb.org//compound_data/NAXSRXHZFIBFMI;qid=Q27077941
COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,XNBRWUQWSKXMPW,Tozadenant; SYN-115,BLD Pharma,BD234839,plated and available for follow-up,https://reframedb.org//compound_data/XNBRWUQWSKXMPW;qid=Q27089009
CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC,menadione; Kappaxin,Target Molecule Corp.,T0449,plated and available for follow-up,https://reframedb.org//compound_data/MJVAVZPDRWSRRC;qid=Q82635101
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,STQGQHZAVUOBTE,Daunoxome; Cerubidine,Santa Cruz,sc-200921,plated and available for follow-up,https://reframedb.org//compound_data/STQGQHZAVUOBTE;qid=Q83078439
O=C(O)Cc1ccccc1,WLJVXDMOQOGPHL,NaPa; sodium phenylacetate,TSRI synthesis,Jin Quan:NN17,plated and available for follow-up,https://reframedb.org//compound_data/WLJVXDMOQOGPHL;qid=Q82680477
CCCCCCc1ccc(O)cc1O,WFJIVOKAWHGMBH,Hexylresorcinol,Oxchem,AX8018168,plated and available for follow-up,https://reframedb.org//compound_data/WFJIVOKAWHGMBH;qid=Q229969
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,RZJQGNCSTQAWON,Vioxx; rofecoxib,Sigma-Aldrich,3543940633,plated and available for follow-up,https://reframedb.org//compound_data/RZJQGNCSTQAWON;qid=Q82298666
COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,JOWXJLIFIIOYMS,CUDC-907; fimepinostat mesylate,Broadpharm,BP-40068,plated and available for follow-up,https://reframedb.org//compound_data/JOWXJLIFIIOYMS;qid=Q27076926
CN(CCCl)CCCl,HAWPXGHAZFHHAD,Clearazide; mechlorethamine hydrochloride,"Ark Pharm, Inc",AK-51730,not plated but available for one-off testing,https://reframedb.org//compound_data/HAWPXGHAZFHHAD;qid=Q418011
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,ASUTZQLVASHGKV,AverTox; galantamine hydrobromide,AvaChem Scientific,1543B,plated and available for follow-up,https://reframedb.org//compound_data/ASUTZQLVASHGKV;qid=Q82598153
O=S(=O)(O)CCS,ZNEWHQLOPFWXOF,Mesnex; mesna,Enamine,EN300-49858,plated and available for follow-up,https://reframedb.org//compound_data/ZNEWHQLOPFWXOF;qid=Q579229
CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,DWZAEMINVBZMHQ,gedatolisib; PKI-587,Key Organics,FE-0013,plated and available for follow-up,https://reframedb.org//compound_data/DWZAEMINVBZMHQ;qid=Q27077788
C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C,LFYJSSARVMHQJB,drupanol; bakuchiol; Bakuchiol,MedChem Express,HY-N0235,plated and available for follow-up,https://reframedb.org//compound_data/LFYJSSARVMHQJB;qid=Q4849590
CNC(=O)Oc1cccc2ccccc12,CVXBEEMKQHEXEN,Carbaril,Enamine,EN300-06105,plated and available for follow-up,https://reframedb.org//compound_data/CVXBEEMKQHEXEN;qid=Q83056902
O=c1c2ccccc2[se]n1-c1ccccc1,DYEFUKCXAQOFHX,Harmokisane; Ebselen,AK Scientific,V1941,plated and available for follow-up,https://reframedb.org//compound_data/DYEFUKCXAQOFHX;qid=Q5332073
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF,GZ17 6.02,MedChem Express,HY-N0005,plated and available for follow-up,https://reframedb.org//compound_data/VFLDPWHFBUODDF;qid=Q82635629
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,RBTBFTRPCNLSDE,Methyleneblue; MTC,MedChem Express,HY-14536,not plated but available for one-off testing,https://reframedb.org//compound_data/RBTBFTRPCNLSDE;qid=Q27097395
c1ccc2[nH]c(-c3cscn3)nc2c1,WJCNZQLZVWNLKY,Mintezol; Thiabendazole,Enamine,EN300-20737,plated and available for follow-up,https://reframedb.org//compound_data/WJCNZQLZVWNLKY;qid=Q82870770
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,OUZWUKMCLIBBOG,Ethoxzolamide,Sigma-Aldrich,333328,plated and available for follow-up,https://reframedb.org//compound_data/OUZWUKMCLIBBOG;qid=Q265352
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,YBJHBAHKTGYVGT,Biotin,ChemSpace,T1116,plated and available for follow-up,https://reframedb.org//compound_data/YBJHBAHKTGYVGT;qid=Q82224660
Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,QJZRFPJCWMNVAV,715992; Ispinesib,(Kal) PHARMARON,ABP245-038,plated and available for follow-up,https://reframedb.org//compound_data/QJZRFPJCWMNVAV;qid=Q27166496
C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,XRYJULCDUUATMC,CGP-75166; PKI 166,Sigma-Aldrich,SML1095,plated and available for follow-up,https://reframedb.org//compound_data/XRYJULCDUUATMC;qid=Q27088404
COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,GLBJJMFZWDBELO,pimobendan; Acardi,Key Organics,KS-1280,plated and available for follow-up,https://reframedb.org//compound_data/GLBJJMFZWDBELO;qid=Q414351
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,VGEREEWJJVICBM,Dihydronaringenin; phloretin; Phloretin,MedChem Express,HY-N0142,plated and available for follow-up,https://reframedb.org//compound_data/VGEREEWJJVICBM;qid=Q2268463
CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,OROAFUQRIXKEMV,Eprosartan mesylate; Futuran,Sigma-Aldrich,3515237034,plated and available for follow-up,https://reframedb.org//compound_data/OROAFUQRIXKEMV;qid=Q784717
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,PGAVKCOVUIYSFO,INS-316; UTP,MedChem Express,HY-107372,plated and available for follow-up,https://reframedb.org//compound_data/PGAVKCOVUIYSFO;qid=Q83083003
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,VLSMHEGGTFMBBZ,KAINIC ACID,Sigma-Aldrich,K0250,plated and available for follow-up,https://reframedb.org//compound_data/VLSMHEGGTFMBBZ;qid=Q390239
